sym_idx,demod_I,demod_Q,locked
1316,-692,629,1
1317,-1919,1742,1
1318,-1862,-573,1
1319,538,-761,1
1320,-1978,-560,1
1321,-1807,-1778,1
1322,-576,1981,1
1323,-1938,730,1
1324,-652,687,1
1325,652,1916,1
1326,-2002,559,1
1327,2010,-1815,1
1328,-1926,-623,1
1329,1897,-617,1
1330,-670,635,1
1331,-1962,1862,1
1332,-639,618,1
1333,-664,1868,1
1334,-630,1929,1
1335,732,1913,1
1336,-677,682,1
1337,1911,-566,1
1338,-585,560,1
1339,-627,621,1
1340,-672,-2037,1
1341,-1972,1950,1
1342,1912,1907,1
1343,661,591,1
1344,-2003,654,1
1345,698,1825,1
1346,-1960,1948,1
1347,698,1921,1
